lga_code,lga_name,area_sqkm,mode,has_service,mode_count,n_stops,n_routes,n_trips,n_stop_events,weekday_stop_events,weekend_stop_events,first_service_hour,last_service_hour,service_span_hours,stop_density,route_density,events_per_stop,weekend_weekday_ratio,coverage_gap,frequency_gap,service_gap,weekend_weekday_gap,mode_diversity_gap,overall_score
22670,Greater Dandenong,129.5466,All,TRUE,2,751,65,20975,343193,213110,134205,3.033333333333333,31.6,28.56666666666667,5.797141723518795,0.5017499494390435,456.9813581890812,0.6297452020083525,35.307890914575374,24.910821238604758,12.125748502994009,37.02547979916475,33.333333333333336,28.033649708768547
22670,Greater Dandenong,129.5466,Bus,TRUE,2,739,61,16210,323371,200453,127040,4.55,31.6,27.05,5.704510963622356,0.4708730294735639,437.57916102841676,0.6337645233546019,28.85960634794527,21.750335981427668,18.937125748503,36.623547664539814,33.333333333333336,26.933442881724808
22670,Greater Dandenong,129.5466,Train,TRUE,2,12,4,4765,19822,12657,7165,3.033333333333333,26.95,23.916666666666664,0.0926307598964388,0.0308769199654796,1651.8333333333333,0.56608991072134,91.0962787512224,0.861368381660143,3.3018867924528434,43.391008927866004,33.333333333333336,35.1584404808911
22670,Greater Dandenong,129.5466,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
22750,Greater Geelong,1247.9872,All,TRUE,2,1378,76,21019,727603,483139,244464,3.1666666666666665,26.583333333333332,23.416666666666664,1.1041779915691443,0.06089806049292813,528.0137880986938,0.5059910294966873,74.9067303167505,22.790070285982676,35.254491017964085,49.400897050331274,33.333333333333336,43.8852329118258
22750,Greater Geelong,1247.9872,Bus,TRUE,2,1370,74,18935,713509,475531,237978,3.1666666666666665,26.583333333333332,23.416666666666664,1.097767669411994,0.05929547995364055,520.8094890510949,0.5004468688686963,72.32056202035669,19.064216958106876,35.254491017964085,49.95531311313037,33.333333333333336,42.39038991517826
22750,Greater Geelong,1247.9872,Train,TRUE,2,8,2,2084,14094,7608,6486,4.55,26.583333333333332,22.03333333333333,0.00641032215715033,0.0016025805392875824,1761.75,0.8525236593059937,99.3577758709252,0,10.916442048517531,14.747634069400629,33.333333333333336,34.2348774878449
22750,Greater Geelong,1247.9872,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
22830,Greater Shepparton,2421.9092,All,TRUE,2,395,21,905,8555,6155,2400,4.8,22.033333333333335,17.233333333333334,0.16309447108917213,0.008670845298411682,21.658227848101266,0.38992688870836717,94.92742072877664,69.12887594227041,63.02395209580838,61.00731112916329,33.333333333333336,67.76996125629793
22830,Greater Shepparton,2421.9092,Bus,TRUE,2,392,20,755,8105,5867,2238,4.8,22.033333333333335,17.233333333333334,0.16185577890368474,0.008257947903249222,20.676020408163264,0.3814555991136867,94.42141606945158,68.23947273450771,63.02395209580838,61.85444008863132,33.333333333333336,67.5481786334462
22830,Greater Shepparton,2421.9092,Train,TRUE,2,3,1,150,450,288,162,5.366666666666666,21.616666666666667,16.25,0.0012386921854873833,4.128973951624611e-4,150,0.5625,99.8755801709014,32.87588028576679,34.299191374663074,43.75,33.333333333333336,51.61020338909966
22830,Greater Shepparton,2421.9092,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
22910,Hepburn,1472.9843,All,TRUE,2,101,11,825,9867,5123,4744,5.616666666666667,28.633333333333333,23.016666666666666,0.06856828005566658,0.0074678324813102215,97.6930693069307,0.926019910208862,97.78998000737046,47.4855329991524,37.05089820359282,7.3980089791138015,33.333333333333336,49.83875923921635
22910,Hepburn,1472.9843,Bus,TRUE,2,99,10,749,9715,5043,4672,5.616666666666667,28.633333333333333,23.016666666666666,0.067210492331792,0.006788938619372928,98.13131313131314,0.926432678960936,97.5997181201925,44.73872607443248,37.05089820359282,7.356732103906404,33.333333333333336,49.09830050496077
22910,Hepburn,1472.9843,Train,TRUE,2,2,1,76,152,80,72,7.5,20.583333333333332,13.083333333333332,0.0013577877238745858,6.788938619372929e-4,76,0.9,99.86362579020017,41.88601699821882,47.10242587601079,9.999999999999998,33.333333333333336,51.35789587230691
22910,Hepburn,1472.9843,Tram,FALSE,2,0,0,0,0,0,0,NA,NA,0,0,0,0,0,100,100,100,100,33.333333333333336,100
